a52dec 0.7.4-6
sqlite 3.7.11-2
stalonetray 0.8.1-2
startup-notification 0.12-2
strigi 0.7.7-1
subversion 1.7.4-1
sudo 1.8.4.p4-1
sysfsutils 2.1.0-7
syslinux 4.05-4
syslog-ng 3.3.4-5
sysvinit 2.88-3
t1lib 5.1.2-3
taglib 1.7.1-1
taglib-extras 1.0.1-2
talloc 2.0.7-1
tango-icon-theme 0.8.90-4
tapioca-qt 0.14.1.2066-1
tar 1.26-2
tcl 8.5.11-1
tcp_wrappers 7.6-12
tdb 1.2.9-2
telepathy-glib 0.16.4-1
telepathy-logger 0.2.12-1
telepathy-mission-control 5.10.1-1
telepathy-qt 0.14.1.2031-1
termcap-compat 1.2.3-4
terminal 0.4.8-1
terminus-font 4.36-2
tesseract 3.01-1
texinfo 4.13a-7
texlive-bin 2011.3-5
texlive-core 2011.24722-1
texlive-pstricks 2011.24695-1
texmacs 1.0.7.15-1
thunar 1.2.3-5
thunar-archive-plugin 0.3.0-2
thunar-media-tags-plugin 0.2.0-1
thunar-thumbnailers 0.4.1-3
thunar-volman 0.6.1-1
tidyhtml 1.46-2
tk 8.5.11-1
tomboy 1.8.3-1
totem-plparser 2.32.6-3
transcode 1.1.7-4
transmission-cli 2.51-1
transmission-gtk 2.51-1
trapproto 3.4.3-3
trayer 1.0-6
tree 1.6.0-2
ttf-bitstream-vera 1.10-8
ttf-dejavu 2.33-2
ttf-freefont 20100919-2
ttf-indic-otf 0.2-6
ttf-ms-fonts 2.0-3
tucan 0.3.10-2
tunepimp 0.5.3-9
typespeed 0.6.5-4
tzdata 2012c-1
udev 182-1
udev-compat 175-1
udisks 1.0.4-3
unixodbc 2.3.1-1
unrar 4.1.4-2
unzip 6.0-6
upower 0.9.15-1
usbmuxd 1.0.7-2
usbutils 005-1
util-linux 2.21.1-2
v4l-utils 0.8.6-1
vala 0.14.2-1
vbetool 1.1-2
videoproto 2.3.1-2
vigra 1.8.0-3
vim 7.3.495-1
vim-rails 4.4-1
vim-runtime 7.3.495-1
vim-surround 1.90-2
virtualbox 4.1.12-1
virtualbox-additions 4.1.12-1
virtualbox-archlinux-additions 4.1.12-1
virtualbox-archlinux-modules 4.1.12-2
virtualbox-modules 4.1.12-2
virtuoso 6.1.4-2
vlc 2.0.1-1
vnc 4.1.3-1
vorbis-tools 1.4.0-3
vpnc 0.5.3.svn516-1
vsftpd 3.0.0-1
vte 0.28.2-3
vte-common 0.30.1-2
vte-sharp 2.26.0-8
vte3 0.30.1-2
wavpack 4.60.1-2
wget 1.13.4-1
which 2.20-5
whois 5.0.15-1
wireless_tools 29-6
wlan-ng26-utils 0.2.9-1
wnck-sharp 2.26.0-8
wpa_supplicant 0.7.3-5
wv 1.2.9-1
wvdial 1.61-4
wvstreams 4.6.1-3
wxgtk 2.8.12.1-3
x264 20120204-1
xalan-c 1.11_pre1153059-1
xarchiver 0.5.2-5
xbitmaps 1.1.1-2
xcb-proto 1.7.1-1
xcb-util 0.3.8-1
xcb-util-keysyms 0.3.8-1
xchm 1.20-2
xcursor-themes 1.0.3-2
xdg-utils 1.1.0rc1-3
xerces-c 3.1.1-3
xextproto 7.2.1-1
xf86-input-evdev 2.7.0-2
xf86-input-keyboard 1.6.1-2
xf86-input-mouse 1.7.2-1
xf86-input-synaptics 1.5.99.903-1
xf86-video-vesa 2.3.1-1
xf86dgaproto 2.1-2
xf86miscproto 0.9.3-1
xf86vidmodeproto 2.3.1-2
xfce-utils 4.8.3-1
xfce4-appfinder 4.8.0-2
xfce4-artwork 0.1-7
xfce4-battery-plugin 1.0.0-3
xfce4-clipman-plugin 1.2.2-1
xfce4-cpufreq-plugin 1.0.0-2
xfce4-cpugraph-plugin 1.0.1-3
xfce4-datetime-plugin 0.6.1-2
xfce4-dev-tools 4.9.1-1
xfce4-dict 0.6.0-2
xfce4-diskperf-plugin 2.3.0-2
xfce4-eyes-plugin 4.4.1-2
xfce4-fsguard-plugin 1.0.0-2
xfce4-genmon-plugin 3.3.1-1
xfce4-icon-theme 4.4.3-2
xfce4-mailwatch-plugin 1.1.0-4
xfce4-messenger-plugin 0.1.0-6
xfce4-mixer 4.8.0-2
xfce4-mount-plugin 0.5.5-2
xfce4-mpc-plugin 0.4.0-1
xfce4-netload-plugin 1.1.0-1
xfce4-notes-plugin 1.7.7-3
xfce4-notifyd 0.2.2-2
xfce4-panel 4.8.6-1
xfce4-playercontrol-plugin 0.3.0-1
xfce4-power-manager 1.0.11-2
xfce4-quicklauncher-plugin 1.9.4-6
xfce4-screenshooter 1.8.0-2
xfce4-sensors-plugin 1.2.3-4
xfce4-session 4.8.3-1
xfce4-settings 4.8.3-2
xfce4-smartbookmark-plugin 0.4.4-1
xfce4-systemload-plugin 1.0.0-2
xfce4-taskmanager 1.0.0-3
xfce4-timer-plugin 0.6.4-1
xfce4-volstatus-icon 0.1.0-3
xfce4-wavelan-plugin 0.5.6-2
xfce4-weather-plugin 0.7.4-2
xfce4-xfapplet-plugin 0.1.0-7
xfce4-xkb-plugin 0.5.4.3-1
xfconf 4.8.1-1
xfdesktop 4.8.3-2
xfsprogs 3.1.8-1
xfwm4 4.8.3-1
xfwm4-themes 4.6.0-2
xine-lib 1.2.1-2
xine-ui 0.99.6-5
xineramaproto 1.2.1-2
xinetd 2.3.14-8
xkeyboard-config 2.5.1-1
xmlrpc-c 1:1.29.2-2
xmms 1.2.11-4
xmms2 0.8DrO_o-6
xorg-appres 1.0.3-3
xorg-apps 7.6-1
xorg-bdftopcf 1.0.3-2
xorg-font-util 1.3.0-1
xorg-font-utils 7.6-3
xorg-fonts-100dpi 1.0.1-4
xorg-fonts-75dpi 1.0.1-4
xorg-fonts-alias 1.0.2-2
xorg-fonts-encodings 1.0.4-3
xorg-fonts-misc 1.0.1-2
xorg-iceauth 1.0.5-1
xorg-luit 1.1.1-1
xorg-mkfontdir 1.0.7-1
xorg-mkfontscale 1.1.0-1
xorg-server 1.12.1-1
xorg-server-common 1.12.1-1
xorg-server-devel 1.12.1-1
xorg-setxkbmap 1.3.0-1
xorg-twm 1.0.7-1
xorg-util-macros 1.17-1
xorg-utils 7.6-8
xorg-x11perf 1.5.4-1
xorg-xauth 1.0.7-1
xorg-xcursorgen 1.0.5-1
xorg-xdpyinfo 1.3.0-1
xorg-xdriinfo 1.0.4-3
xorg-xev 1.2.0-1
xorg-xinit 1.3.2-1
xorg-xkb-utils 7.6-2
xorg-xkbcomp 1.2.4-1
xorg-xkbevd 1.1.3-1
xorg-xkbutils 1.0.3-3
xorg-xkill 1.0.3-3
xorg-xlsatoms 1.1.1-1
xorg-xlsclients 1.1.2-2
xorg-xpr 1.0.4-1
xorg-xprop 1.2.1-1
xorg-xrandr 1.3.5-1
xorg-xrdb 1.0.9-2
xorg-xset 1.2.2-1
xorg-xsm 1.0.1-2
xorg-xvinfo 1.1.1-3
xorg-xwd 1.0.5-2
xorg-xwininfo 1.1.2-1
xorg-xwud 1.0.4-1
xpdf 3.03-1
xplc 0.3.13-4
xproto 7.0.23-1
xscreensaver 5.15-3
xterm 278-1
xtrans 1.2.7-1
xulrunner 11.0-1
xvidcore 1.3.2-1
xz 5.0.3-2
yaourt 0.9.2.6-1
yelp 3.2.1-1
yelp-xsl 3.2.1-1
zenity 3.2.0-1
zip 3.0-3
zlib 1.2.6-1
zvbi 0.2.33-4
zziplib 0.13.62-1
